tid,uuid,revision_id,langcode,Vocabulary,revision_created,revision_user,revision_log_message,Published,Name,description,weight,parent,changed,default_langcode,revision_translation_affected,path,content_translation_source,content_translation_outdated,content_translation_uid,content_translation_created,"Authority Sources",field_date,field_person_alternate_name,field_preferred_name_fuller_form,field_preferred_name_number,field_preferred_name_prefix,field_preferred_name_rest,field_preferred_name_suffix,field_primary_part_of_name,field_relationships,field_unique_id
2274,d68e7379-e59f-4143-a775-55b11f78460d,2274,en,person|taxonomy_vocabulary|21c044c0-00d4-4b69-a4c3-d1100fe937a3,"2021-10-08T20:35:33+00:00|Y-m-d\TH:i:sP",,,1,"Zackin, Emily J., 1980-",,0,,"2021-10-08T20:35:33+00:00|Y-m-d\TH:i:sP",1,1,en,und,,1|user|8b2345a3-20f6-4d27-bc72-b4b2a6189498|/user/1,"2021-10-08T20:35:33+00:00|Y-m-d\TH:i:sP",http://viaf.org/viaf/162133964|||viaf|http://id.loc.gov/authorities/names/n2005032981|||lcnaf,1980/,,,,,"Emily J.",,Zackin,,378a0479-5b5d-4b67-8bcd-8d5edb3acbcf
2275,8dc95456-2a65-485e-9e2e-3dd79a0b7aa0,2275,en,person|taxonomy_vocabulary|21c044c0-00d4-4b69-a4c3-d1100fe937a3,"2021-10-08T20:35:33+00:00|Y-m-d\TH:i:sP",,,1,Zamsky,"Location information: Philadelphia, PA|basic_html|Location information: Philadelphia, PA",0,,"2021-10-08T20:35:33+00:00|Y-m-d\TH:i:sP",1,1,en,und,,1|user|8b2345a3-20f6-4d27-bc72-b4b2a6189498|/user/1,"2021-10-08T20:35:33+00:00|Y-m-d\TH:i:sP",,,,,,,,,Zamsky,,a2f65442-afe9-4c6f-982e-57367e800ea7
2276,151f26bb-d969-4164-b592-442259c93b8c,2276,en,person|taxonomy_vocabulary|21c044c0-00d4-4b69-a4c3-d1100fe937a3,"2021-10-08T20:35:33+00:00|Y-m-d\TH:i:sP",,,1,"Zartman, I. William",,0,,"2021-10-08T20:35:33+00:00|Y-m-d\TH:i:sP",1,1,en,und,,1|user|8b2345a3-20f6-4d27-bc72-b4b2a6189498|/user/1,"2021-10-08T20:35:33+00:00|Y-m-d\TH:i:sP",http://viaf.org/viaf/108621641|||viaf|http://id.loc.gov/authorities/names/n79117232|||lcnaf,,,,,,"I. William",,Zartman,,2b5135a4-ba16-4c6e-aee8-d050d6fd99a8
2277,685cb401-f307-4733-8823-486779d9d0e1,2277,en,person|taxonomy_vocabulary|21c044c0-00d4-4b69-a4c3-d1100fe937a3,"2021-10-08T20:35:33+00:00|Y-m-d\TH:i:sP",,,1,"Zavadil, Jerry J.",,0,,"2021-10-08T20:35:33+00:00|Y-m-d\TH:i:sP",1,1,en,und,,1|user|8b2345a3-20f6-4d27-bc72-b4b2a6189498|/user/1,"2021-10-08T20:35:33+00:00|Y-m-d\TH:i:sP",,,,,,,"Jerry J.",,Zavadil,,1790e1bc-549c-4656-b171-1622c1a8df3c
2278,84cdd099-e642-459b-88bd-eedab9e85692,2278,en,person|taxonomy_vocabulary|21c044c0-00d4-4b69-a4c3-d1100fe937a3,"2021-10-08T20:35:33+00:00|Y-m-d\TH:i:sP",,,1,"Zdanis, Michael",,0,,"2021-10-08T20:35:33+00:00|Y-m-d\TH:i:sP",1,1,en,und,,1|user|8b2345a3-20f6-4d27-bc72-b4b2a6189498|/user/1,"2021-10-08T20:35:33+00:00|Y-m-d\TH:i:sP",,,,,,,Michael,,Zdanis,,fb4149d5-6ec7-40e6-89df-6a8dd5de02d6
2279,d0c1ccbb-f10f-4cfc-ba54-9f30ea95448f,2279,en,person|taxonomy_vocabulary|21c044c0-00d4-4b69-a4c3-d1100fe937a3,"2021-10-08T20:35:33+00:00|Y-m-d\TH:i:sP",,,1,Zepp,,0,,"2021-10-08T20:35:33+00:00|Y-m-d\TH:i:sP",1,1,en,und,,1|user|8b2345a3-20f6-4d27-bc72-b4b2a6189498|/user/1,"2021-10-08T20:35:33+00:00|Y-m-d\TH:i:sP",,,,,,,,,Zepp,,212acee4-ef5c-4f79-9aa2-046d25ce455d
2280,4eec718c-edf8-44fc-93ae-8ac6a4c87acd,2280,en,person|taxonomy_vocabulary|21c044c0-00d4-4b69-a4c3-d1100fe937a3,"2021-10-08T20:35:33+00:00|Y-m-d\TH:i:sP",,,1,"Zerhouni, Elias A.",,0,,"2021-10-08T20:35:33+00:00|Y-m-d\TH:i:sP",1,1,en,und,,1|user|8b2345a3-20f6-4d27-bc72-b4b2a6189498|/user/1,"2021-10-08T20:35:33+00:00|Y-m-d\TH:i:sP",http://viaf.org/viaf/70312208|||viaf|http://id.loc.gov/authorities/names/n83193177|||lcnaf,,,,,,"Elias A.",,Zerhouni,,009ce7a0-fdb0-4b9f-bd5a-755739d18a61
2281,86a23d5b-e7b3-4e33-9ce3-ad31871b5d7e,2281,en,person|taxonomy_vocabulary|21c044c0-00d4-4b69-a4c3-d1100fe937a3,"2021-10-08T20:35:33+00:00|Y-m-d\TH:i:sP",,,1,"Zimmerman, Doris",,0,,"2021-10-08T20:35:33+00:00|Y-m-d\TH:i:sP",1,1,en,und,,1|user|8b2345a3-20f6-4d27-bc72-b4b2a6189498|/user/1,"2021-10-08T20:35:33+00:00|Y-m-d\TH:i:sP",,,,,,,Doris,,Zimmerman,,c0df36f3-0bbd-465e-99fd-08b1a63a1a86
2282,8be9cff3-7325-4158-8ce3-c464243ae09b,2282,en,person|taxonomy_vocabulary|21c044c0-00d4-4b69-a4c3-d1100fe937a3,"2021-10-08T20:35:33+00:00|Y-m-d\TH:i:sP",,,1,"Zintl, Carrie May, 1904-1992",,0,,"2021-10-08T20:35:33+00:00|Y-m-d\TH:i:sP",1,1,en,und,,1|user|8b2345a3-20f6-4d27-bc72-b4b2a6189498|/user/1,"2021-10-08T20:35:33+00:00|Y-m-d\TH:i:sP",,1904/1992,,,,,"Carrie May",,Zintl,,4a40e035-3729-4083-94d4-0f842c61c4bc
2283,1b4457ae-e951-49c8-b762-d096ca70782e,2283,en,person|taxonomy_vocabulary|21c044c0-00d4-4b69-a4c3-d1100fe937a3,"2021-10-08T20:35:33+00:00|Y-m-d\TH:i:sP",,,1,"Zintmasters, M. B. L.","Location information: Bozeman, MT|basic_html|Location information: Bozeman, MT",0,,"2021-10-08T20:35:33+00:00|Y-m-d\TH:i:sP",1,1,en,und,,1|user|8b2345a3-20f6-4d27-bc72-b4b2a6189498|/user/1,"2021-10-08T20:35:33+00:00|Y-m-d\TH:i:sP",,,,,,,"M. B. L.",,Zintmasters,,971f4487-b5ea-4c15-8940-1918daa3e812
2284,397b61b8-c10d-491c-8e6d-741d74a1909c,2284,en,person|taxonomy_vocabulary|21c044c0-00d4-4b69-a4c3-d1100fe937a3,"2021-10-08T20:35:33+00:00|Y-m-d\TH:i:sP",,,1,"Zuidema, George D.",,0,,"2021-10-08T20:35:33+00:00|Y-m-d\TH:i:sP",1,1,en,und,,1|user|8b2345a3-20f6-4d27-bc72-b4b2a6189498|/user/1,"2021-10-08T20:35:33+00:00|Y-m-d\TH:i:sP",http://viaf.org/viaf/66530398|||viaf|http://id.loc.gov/authorities/names/n79139330|||lcnaf,,,,,,"George D.",,Zuidema,,51def863-067e-4ac9-9fdd-1c77b0207e34
